	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
Paclitaxel	-0.3799627365299239	0.017817647929812275	0.991666666667	0.00833333333333	0.00833333333333	0.991666666667	0.192	0.192
Irinotecan	-0.36396953295413825	0.017919675203441725	0.980833333333	0.0191666666667	0.0191666666667	0.991666666667	0.192	0.192
Topotecan	-0.35472858055440293	0.020481255470342227	0.970833333333	0.0291666666667	0.0291666666667	0.991666666667	0.192	0.192
PD-0332991	-0.3404891284554823	0.06055448394099112	0.961666666667	0.0383333333333	0.0383333333333	0.991666666667	0.192	0.192
PF2341066	-0.3392043649576767	0.05561815525068024	0.96	0.04	0.04	0.991666666667	0.192	0.192
PHA-665752	-0.32089081637137973		0.935	0.065	0.065	0.991666666667	0.26	0.26
L-685458	-0.3102410819150542		0.918333333333	0.0816666666667	0.0816666666667	0.991666666667	0.28	0.28
17-AAG	-0.29140852974553566		0.886666666667	0.113333333333	0.113333333333	0.991666666667	0.34	0.34
Panobinostat	-0.28318285251187086		0.8675	0.1325	0.1325	0.991666666667	0.353333333333	0.353333333333
AZD6244	-0.25417032392194244		0.794166666667	0.205833333333	0.205833333333	0.991666666667	0.472	0.472
PD-0325901	-0.24471309487203827		0.7725	0.2275	0.2275	0.991666666667	0.472	0.472
Sorafenib	-0.23876391745515796		0.760833333333	0.239166666667	0.239166666667	0.991666666667	0.472	0.472
TAE684	-0.22907612222760287		0.7275	0.2725	0.2725	0.991666666667	0.472	0.472
TKI258	-0.2266714699746099		0.7225	0.2775	0.2775	0.991666666667	0.472	0.472
RAF265	-0.22042531961167067		0.705	0.295	0.295	0.991666666667	0.472	0.472
AEW541	-0.21651890465441156		0.684166666667	0.315833333333	0.315833333333	0.991666666667	0.47375	0.47375
Nilotinib	0.21953991535797054		0.31	0.69	0.31	0.93	0.974117647059	0.93
AZD0530	0.27533033107777705		0.149166666667	0.850833333333	0.149166666667	0.511428571429	0.990833333333	0.511428571429
Nutlin-3	0.2753663925594059		0.149166666667	0.850833333333	0.149166666667	0.511428571429	0.990833333333	0.511428571429
ZD-6474	0.2766154166796779	0.05825814075910736	0.145833333333	0.854166666667	0.145833333333	0.511428571429	0.990833333333	0.511428571429
Lapatinib	0.29013178588150607	0.06394928564653027	0.116666666667	0.883333333333	0.116666666667	0.511428571429	0.990833333333	0.511428571429
LBW242	0.3427048516787803	0.08650482990630745	0.0416666666667	0.958333333333	0.0416666666667	0.333333333333	0.990833333333	0.333333333333
Erlotinib	0.3522734116774453	0.05857290398765175	0.03	0.97	0.03	0.333333333333	0.990833333333	0.333333333333
PLX4720	0.3911520729940816	0.12661776267574665	0.00916666666667	0.990833333333	0.00916666666667	0.22	0.990833333333	0.22
