	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
Methotrexate_ALPHA	-0.6070694846820053	0.09755348469133193	1.0	1.3080444735120994e-05	1.3080444735120994e-05	1.0	0.019999999999999997	0.019999999999999997
Z-LLNle-CHO_B	-0.5683426874645242	0.022978271089166107	0.999947678221	5.23217789405e-05	5.23217789405e-05	1.0	0.0325	0.0325
JW-7-52-1_D	-0.5624136508476941	0.026639704735432215	0.999921517332	7.84826684107e-05	7.84826684107e-05	1.0	0.0325	0.0325
BMS-509744_B	-0.5561873441250723	0.02368392973180403	0.999856115108	0.000143884892086	0.000143884892086	1.0	0.0325	0.0325
A-443654_B	-0.5533210147662145	0.020854367168959755	0.999843034663	0.000156965336821	0.000156965336821	1.0	0.0325	0.0325
Paclitaxel_B	-0.5458084725411982	0.025792323752624018	0.99977763244	0.000222367560497	0.000222367560497	1.0	0.0325	0.0325
GNF-2_B	-0.5419687751802303	0.024717058273472016	0.999725310661	0.000274689339438	0.000274689339438	1.0	0.0325	0.0325
Dasatinib_B	-0.5414204784689075	0.024353482199826075	0.999712230216	0.000287769784173	0.000287769784173	1.0	0.0325	0.0325
CGP-60474_B	-0.5407371740041329	0.02030345425953936	0.999712230216	0.000287769784173	0.000287769784173	1.0	0.0325	0.0325
CGP-082996_B	-0.5404962460823433	0.024432485621311027	0.999712230216	0.000287769784173	0.000287769784173	1.0	0.0325	0.0325
WH-4-023_B	-0.5380256366639636	0.020202067970074344	0.999712230216	0.000287769784173	0.000287769784173	1.0	0.0325	0.0325
Sunitinib_B	-0.5368912141694917	0.02298933538983868	0.999699149771	0.000300850228908	0.000300850228908	1.0	0.0325	0.0325
JW-7-52-1_B	-0.536144511724917	0.019588872004341673	0.999686069326	0.000313930673643	0.000313930673643	1.0	0.0325	0.0325
WZ-1-84_B	-0.5334791852068048	0.022429373082133015	0.999659908437	0.000340091563113	0.000340091563113	1.0	0.0325	0.0325
BI-2536_B	-0.5331300942780701	0.023960045822394645	0.999659908437	0.000340091563113	0.000340091563113	1.0	0.0325	0.0325
AZD-0530_ALPHA	-0.5325285422674323	0.05863896647335689	0.999659908437	0.000340091563113	0.000340091563113	1.0	0.0325	0.0325
A-770041_B	-0.5313795174914845	0.01931273196185992	0.999633747547	0.000366252452583	0.000366252452583	1.0	0.0329411764706	0.0329411764706
BMS-536924_B	-0.5292452347898465	0.026505008807577543	0.999607586658	0.000392413342054	0.000392413342054	1.0	0.0333333333333	0.0333333333333
Doxorubicin_D	-0.5287591088859206	0.02625379365687614	0.999581425768	0.000418574231524	0.000418574231524	1.0	0.0336842105263	0.0336842105263
AP-24534_ALPHA	-0.5242831279730077	0.025195167569130216	0.99952910399	0.000470896010464	0.000470896010464	1.0	0.0345454545455	0.0345454545455
S-Trityl-L-cysteine_B	-0.5231636402615181	0.019618863797908694	0.9995029431	0.000497056899935	0.000497056899935	1.0	0.0345454545455	0.0345454545455
VX-680_B	-0.5229914677407709	0.02233501830051041	0.9995029431	0.000497056899935	0.000497056899935	1.0	0.0345454545455	0.0345454545455
BMS-754807_D	-0.5203641630633334	0.032871313231035273	0.999437540876	0.00056245912361	0.00056245912361	1.0	0.0373913043478	0.0373913043478
XMD8-85_B	-0.5130010237261114	0.026592397042934854	0.999293655984	0.000706344015697	0.000706344015697	1.0	0.04125	0.04125
CMK_B	-0.5119893166370616	0.02103845277042215	0.999293655984	0.000706344015697	0.000706344015697	1.0	0.04125	0.04125
Lapatinib_B	-0.5110311353476035	0.02097828614511754	0.999267495095	0.000732504905167	0.000732504905167	1.0	0.04125	0.04125
AP-24534_B	-0.5109518409229379	0.022920469263862892	0.999267495095	0.000732504905167	0.000732504905167	1.0	0.04125	0.04125
